호선,호선명,GINR,DOCK,BATCH,년BATCH,선종,선형,연번,선주,선급1,선급2,선급3,국적,시리즈 대표호선,시리즈번호,계약일자,W/C일자,K/L일자,F/T일자,L/C일자,D/L일자,도면완료일,제작블럭수,탑재블럭수,W/C실적일자,K/L실적일자,L/C실적일자,D/L실적일자,선주도면승인기간,선급도면승인기간,계약인도일,대일정계획시 주요공정체크,탑재네트워크확정REVNO,탑재네트워크확정일자,일정재생성가부,공수재생성가부,중일정공수조정가부,D/L여부,설계대표호선,설계 시리즈 번호,건조 방식(T:Tandem S:straight),"FWD일정 생성시 신종선 연속선에 따라 POR발행계획일이 MP 생성일 기준 2주, 3주(2:2주 3:3주)",mp생성일(호선의 mp등록일 중 가장 빠른 날짜을 넣어줌[2005/12/20추가됨]),,,,출항 예정일,Load Out 일자 (육상건조),,"호선 건조구분(H: HMD, V: HVS, 1:신조, 2:개조, 3:수리, 4:기술수출)","계약정보(Y:계약, N:미계약,C:취소,D:보류,O:옵션)",E/R ACCESS HOLE FT전 위치,E/R ACCESS HOLE FT후 위치,조기K/L,조기 K/L BLOCK,"HVS자재대수수료(0:1.07, 1:1)",FT전 도크내호선위치(E/W)-STRAIGHT는 여기만 값 유지,FT후 도크내호선위치(E/W),가상W/C
005406,GALAHAD,N,3,21,03-1,CT   ,46K,2 ,ADMANTHOS,ABS       ,,,BRITISH VIRGIN ISLANDS,005306,2 ,2001-08-10,2002-08-27,2002-12-16,,2003-03-11,2003-06-03,,0,0,2002-08-27,2002-12-16,2003-03-11,2003-06-03,0,0,2003-06-30,Y,R9,2002-12-29,Y,Y,Y,Y,005306,,S,2,,290,1.75,20,2003-06-05,,N,H1,Y,,,,,,,,
010106,SEA EXPLORER,N,2,2,02-2,CT   ,35K,1 ,THENAMARIS,DNV       ,,,MALTA,010106,1 ,2001-01-17,2002-01-22,2002-05-04,,2002-08-10,2003-01-03,,0,0,2002-01-22,2002-05-04,2002-08-10,2003-01-03,0,0,2002-09-30,Y,R8,2002-05-08,Y,Y,Y,Y,010106,,S,2,,290,1.75,20,2003-01-04,,N,H1,Y,,,,,N,,,
010206,SEA CROWN,N,2,2,02-2,CT   ,35K,2 ,THENAMARIS,DNV       ,,,MALTA,010106,2 ,2001-01-17,2002-01-22,2002-05-04,,2002-08-10,2003-01-03,,0,0,2002-01-22,2002-05-04,2002-08-10,2003-01-03,0,0,2003-01-09,Y,R7,2002-05-08,Y,Y,Y,Y,010106,,S,2,,290,1.75,20,2003-01-07,,N,H1,Y,,,,,N,,,
010306,VALLE DI NAVARRA,N,2,1,02-1,CT   ,35K,1 ,MONTANARI,RINA      ,,,ITALY,010306,5 ,2001-01-31,2001-10-19,2002-01-30,,2002-04-30,2002-07-16,,0,0,2001-10-19,2002-01-30,2002-04-30,2002-07-16,0,0,2002-09-30,Y,R8,2002-01-24,Y,Y,Y,Y,010306,,S,2,,290,1.75,20,2002-07-30,,N,H1,Y,,,,,,,,
010406,VALLERMOSA,N,2,3,02-3,CT   ,35K,2 ,MONTANARI,RINA      ,,,ITALY,010306,6 ,2001-01-31,2002-04-03,2002-08-12,,2002-11-02,2003-01-29,,0,0,2002-04-03,2002-06-15,2002-11-02,2003-01-29,0,0,2003-03-31,Y,R6,2002-07-06,Y,Y,Y,Y,010306,,S,2,,290,1.75,20,2003-01-31,,N,H1,Y,,,,,,,,
010506,BRITISH EXPLORER,N,3,19,02-3,CT   ,37K,2 ,GEDEN,DNV       ,,,LIBERIA,010506,5 ,2001-02-21,2002-03-05,2002-06-14,,2002-09-16,2003-01-15,,0,0,2002-03-05,2002-06-14,2002-09-16,2003-01-15,0,0,2003-01-15,Y,R5,2002-07-30,Y,Y,Y,Y,010506,,S,2,,290,1.75,20,2003-01-16,,N,H1,Y,,,,,N,,,
010606,BRITISH ESTEEM(GEDEN),N,3,20,02-4,CT   ,37K,2 ,GEDEN,DNV       ,,,LIBERIA,010506,6 ,2001-01-16,2002-03-27,2002-09-18,,2002-12-14,2003-03-10,,0,0,2002-03-22,2002-06-14,2002-12-13,2003-03-10,0,0,2003-03-31,Y,R7,2002-09-09,Y,Y,Y,Y,010506,,S,2,,290,1.75,20,2003-03-11,,N,H1,Y,,,,,N,,,
010706,NEW NAVIGATION,N,4,8,02-4,BC   ,52K,1 ,Pan Ocean Shipping,KR        ,,,CYPRUS,010706,1 ,2001-02-14,2002-03-26,2002-07-19,,2002-10-19,2003-01-07,,0,0,2002-03-26,2002-07-19,2002-10-19,2003-01-07,0,0,2003-01-10,Y,R8,2002-07-04,Y,Y,Y,Y,010706,,S,2,,290,1.75,20,2003-01-08,,N,H1,Y,,,,,,,,
010806,NEW ORION,N,4,9,03-1,BC   ,52K,2 ,Pan Ocean Shipping,KR        ,,,CYPRUS,010706,2 ,2001-02-14,2002-03-24,2002-10-21,,2003-01-11,2003-03-11,,0,0,2002-03-26,2002-05-06,2003-01-12,2003-03-11,0,0,2003-03-20,Y,R9,2002-10-16,Y,Y,Y,Y,010706,,S,2,,290,1.75,20,2003-03-11,,N,H1,Y,,,,,N,,,
010906,ANTEA,N,3,19,02-3,CT   ,35K,1 ,MORFINI,DNV       ,,,ITALY,010906,1 ,2001-01-16,2002-03-05,2002-06-14,,2002-09-16,2002-12-18,,0,0,2002-03-05,2002-06-14,2002-09-16,2002-12-18,0,0,2002-12-31,Y,R3,2002-02-19,Y,Y,Y,Y,010906,,S,2,,290,1.75,20,2002-12-20,,N,H1,Y,,,,,N,,,
011006,MILLEURA,N,2,3,02-3,CT   ,35K,2 ,MORFINI,DNV       ,,,ITALY,010906,2 ,2001-03-31,2002-04-03,2002-08-12,,2002-11-02,2003-01-23,,0,0,2002-04-03,2002-08-12,2002-11-02,2003-01-23,0,0,2003-04-20,Y,R4,2002-07-06,Y,Y,Y,Y,010906,,S,2,,290,1.75,20,2003-01-25,,N,H1,Y,,,,,,,,
